"logger:app-info=> date:[Thu Aug 11 2022 23:44:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:44:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:44:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:44:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:44:49 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:44:49 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:44:49 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:47:50 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:47:50 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:47:50 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:48:02 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:48:02 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:48:02 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:49:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:49:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:49:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:49:31 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:49:31 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:49:31 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:51:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:51:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:51:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:52:33 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:52:33 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:52:33 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:53:03 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:53:03 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T22:53:03.436Z] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:54:00 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/all 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:54:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:55:23 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:55:23 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:55:23 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:55:41 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:55:41 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T22:55:41.504Z] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:56:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/count 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:56:50 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/count?role=ADMIN 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:56:56 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/count?role=OWNER 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:24 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:24 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:24 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:32 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:58:32 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T22:58:32.713Z] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:59:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/all 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:59:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/6262f1418958d035395cd3a4 200\"] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:59:39 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/ 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:00:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:00:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:00:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:00:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:00:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T23:00:17.340Z] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:00:31 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/me 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:01:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:01:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:01:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:01:14 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:01:14 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T23:01:14.322Z] | meta: [[]] "
